epoch,train_loss,val_loss,cos_sim,rep_diversity,l2_dist
26,0.1182,0.1191,0.8742,0.337,12.3434
27,0.1207,0.1189,0.9011,0.3443,11.0508
28,0.1215,0.1191,0.8974,0.3245,11.2464
29,0.1215,0.1194,0.8794,0.3247,12.1788
30,0.1198,0.12,0.8543,0.2715,13.1677
31,0.116,0.1248,0.8229,0.2842,14.4054
32,0.1153,0.1258,0.8298,0.2446,14.0977
33,0.1158,0.1279,0.864,0.253,12.6971
34,0.1175,0.1326,0.853,0.2498,13.1554
35,0.1184,0.1305,0.844,0.2379,13.319
36,0.1185,0.1346,0.8493,0.2599,13.4279
37,0.1182,0.132,0.8057,0.221,15.116
38,0.1181,0.1344,0.882,0.2786,11.9465
39,0.119,0.1354,0.8487,0.2739,13.4298
40,0.1189,0.1374,0.8443,0.289,13.5656
41,0.1191,0.1352,0.8397,0.2233,13.9086
42,0.1188,0.1384,0.8495,0.2455,13.3085
43,0.119,0.1381,0.8484,0.2883,13.4253
44,0.1189,0.1368,0.8672,0.3239,12.6453
45,0.1188,0.1376,0.832,0.2487,14.1927
46,0.1193,0.1367,0.8557,0.2176,13.0896
47,0.1193,0.1399,0.8362,0.2368,13.839
48,0.1203,0.1385,0.8555,0.2355,13.0154
49,0.1212,0.1383,0.8415,0.1974,13.6741
50,0.1216,0.1401,0.843,0.2701,13.8813
51,0.1234,0.1433,0.8342,0.2697,14.0596
52,0.1242,0.1427,0.7984,0.2371,15.3381
53,0.1245,0.1422,0.8668,0.2115,12.7804
54,0.1251,0.1446,0.8577,0.2614,13.1593
55,0.1265,0.1445,0.7668,0.237,16.5939
56,0.1271,0.1441,0.8401,0.2385,13.8774
57,0.127,0.143,0.8594,0.2234,13.0517
58,0.1274,0.1472,0.7555,0.2663,17.0211
59,0.1272,0.1464,0.8106,0.2145,15.1751
60,0.1276,0.1463,0.8517,0.2199,13.5924
61,0.1286,0.1469,0.8751,0.2118,12.6076
62,0.1298,0.1487,0.8529,0.2362,13.4303
63,0.1298,0.1494,0.8403,0.2186,14.0245
64,0.131,0.1489,0.8441,0.2118,13.8089
65,0.1314,0.148,0.8437,0.2292,13.8228
66,0.1319,0.152,0.788,0.1347,16.0163
67,0.132,0.1501,0.8584,0.2183,13.312
68,0.1321,0.1517,0.8503,0.2394,13.6835
69,0.1327,0.1506,0.7753,0.1954,16.4847
70,0.133,0.1526,0.8274,0.2321,14.5413
71,0.1329,0.1524,0.7955,0.2411,15.8949
72,0.133,0.1517,0.8344,0.2256,14.4569
73,0.1333,0.1511,0.8383,0.2185,14.2166
74,0.1332,0.1516,0.833,0.2185,14.31
75,0.1332,0.1514,0.852,0.2294,13.6168
76,0.1325,0.1515,0.8119,0.2222,15.2382
77,0.1325,0.1511,0.8059,0.225,15.4428
78,0.1319,0.1516,0.8494,0.2166,13.7604
79,0.1315,0.1506,0.8082,0.2117,15.3704
80,0.131,0.1497,0.7672,0.2365,16.8617
81,0.1305,0.1505,0.8454,0.2229,14.0286
82,0.1299,0.1492,0.8033,0.1812,15.4302
83,0.1295,0.1488,0.7788,0.2236,16.4154
84,0.1292,0.1492,0.8471,0.2023,13.8189
85,0.1286,0.1483,0.8571,0.2145,13.3569
86,0.1281,0.1491,0.7971,0.2489,15.9134
87,0.1276,0.1467,0.8284,0.2248,14.7773
88,0.1269,0.1476,0.8205,0.266,14.7717
89,0.1262,0.146,0.8294,0.2353,14.5432
90,0.1258,0.1457,0.8254,0.2389,14.7453
91,0.1254,0.1447,0.8448,0.2511,13.9877
92,0.1251,0.145,0.8198,0.2399,14.9336
93,0.1246,0.145,0.8244,0.1246,14.8375
94,0.1243,0.1446,0.8211,0.1188,14.8072
95,0.1242,0.1457,0.7824,0.1994,16.4285
96,0.1239,0.1448,0.8514,0.2269,13.8293
97,0.124,0.144,0.8287,0.2417,14.5904
98,0.1236,0.1445,0.8012,0.2392,15.6898
99,0.1235,0.1457,0.8401,0.258,14.0859
100,0.1234,0.1448,0.8107,0.236,15.3717
