claim_id,quantity,value,uncertainty,n,unit,source_path,source_locator,status
random-meanpool-epoch-sweep.0001,ep100_results::num_slices,100,,3000,count,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.num_slices,SOLID
random-meanpool-epoch-sweep.0002,ep100_results::probe_depth,1,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.probe_depth,SOLID
random-meanpool-epoch-sweep.0003,ep100_results::best_epoch,48,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.best_epoch,SOLID
random-meanpool-epoch-sweep.0004,ep100_results::best_val_auc,0.8559082595976453,,3000,fraction,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.best_val_auc,SOLID
random-meanpool-epoch-sweep.0005,ep100_results::test_auc,0.8745808957846787,,3000,fraction,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.test_auc,SOLID
random-meanpool-epoch-sweep.0006,ep100_results::test_loss,0.43732556772232056,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.test_loss,SOLID
random-meanpool-epoch-sweep.0007,ep100_results::sensitivity,0.7612551159618008,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.sensitivity,SOLID
random-meanpool-epoch-sweep.0008,ep100_results::specificity,0.8383311603650587,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.specificity,SOLID
random-meanpool-epoch-sweep.0009,ep100_results::probe_params,0,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.probe_params,SOLID
random-meanpool-epoch-sweep.0010,ep100_results::head_params,2305,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.head_params,SOLID
random-meanpool-epoch-sweep.0011,ep100_results/config/data::num_slices,100,,3000,count,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.data.num_slices,SOLID
random-meanpool-epoch-sweep.0012,ep100_results/config/data::slice_size,256,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.data.slice_size,SOLID
random-meanpool-epoch-sweep.0013,ep100_results/config/data::batch_size,256,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.data.batch_size,SOLID
random-meanpool-epoch-sweep.0014,ep100_results/config/data::num_workers,4,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.data.num_workers,SOLID
random-meanpool-epoch-sweep.0015,ep100_results/config/data::encode_chunk_size,50,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.data.encode_chunk_size,SOLID
random-meanpool-epoch-sweep.0016,ep100_results/config/model::patch_size,16,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.model.patch_size,SOLID
random-meanpool-epoch-sweep.0017,ep100_results/config/model::crop_size,256,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.model.crop_size,SOLID
random-meanpool-epoch-sweep.0018,ep100_results/config/model::probe_num_heads,12,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.model.probe_num_heads,SOLID
random-meanpool-epoch-sweep.0019,ep100_results/config/model::probe_depth,1,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.model.probe_depth,SOLID
random-meanpool-epoch-sweep.0020,ep100_results/config/model::probe_head_dim,64,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.model.probe_head_dim,SOLID
random-meanpool-epoch-sweep.0021,ep100_results/config/training::lr_probe,0.0004,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.lr_probe,SOLID
random-meanpool-epoch-sweep.0022,ep100_results/config/training::lr_encoder,0.000001,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.lr_encoder,SOLID
random-meanpool-epoch-sweep.0023,ep100_results/config/training::lr_head,0.0004,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.lr_head,SOLID
random-meanpool-epoch-sweep.0024,ep100_results/config/training::weight_decay,0.05,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.weight_decay,SOLID
random-meanpool-epoch-sweep.0025,ep100_results/config/training::dropout,0.2,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.dropout,SOLID
random-meanpool-epoch-sweep.0026,ep100_results/config/training::epochs,50,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.epochs,SOLID
random-meanpool-epoch-sweep.0027,ep100_results/config/training::patience,15,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.patience,SOLID
random-meanpool-epoch-sweep.0028,ep100_results/config/training::warmup_epochs,5,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.warmup_epochs,SOLID
random-meanpool-epoch-sweep.0029,ep100_results/config/training::accum_steps,1,,3000,scalar,C:\Users\Gary\Desktop\jepa\results\downstream\meanpool_sweep_random\ep100_results.json,$.config.training.accum_steps,SOLID
