epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,lr_head,elapsed_s
1,0.537725,0.447983,0.859862,0.00000000,0.00002000,0.00002000,1779.8
2,0.422994,0.436223,0.866103,0.00000000,0.00004000,0.00004000,1771.3
3,0.396018,0.449106,0.869003,0.00000001,0.00006000,0.00006000,1771.8
4,0.383549,0.440623,0.871256,0.00000001,0.00008000,0.00008000,1764.5
5,0.368879,0.450211,0.868885,0.00000001,0.00010000,0.00010000,1765.8
6,0.357238,0.510788,0.858321,0.00000001,0.00012000,0.00012000,1741.9
7,0.340060,0.462560,0.863538,0.00000002,0.00014000,0.00014000,1760.7
8,0.319430,0.529651,0.856394,0.00000002,0.00016000,0.00016000,1765.1
9,0.296673,0.528596,0.845989,0.00000002,0.00018000,0.00018000,1758.4
10,0.271255,0.563829,0.855168,0.00000002,0.00020000,0.00020000,1748.6
11,0.234251,0.658073,0.852361,0.00000002,0.00019969,0.00019969,1757.7
12,0.186729,0.646848,0.842226,0.00000002,0.00019877,0.00019877,1744.6
13,0.155522,0.672975,0.836263,0.00000002,0.00019724,0.00019724,1746.9
14,0.117304,0.739063,0.838916,0.00000002,0.00019511,0.00019511,1736.1
15,0.082783,0.857662,0.839798,0.00000002,0.00019239,0.00019239,1742.8
16,0.065251,1.297700,0.825872,0.00000002,0.00018910,0.00018910,1736.2
17,0.071274,0.746729,0.841819,0.00000002,0.00018526,0.00018526,1737.5
18,0.042422,1.028860,0.844521,0.00000002,0.00018090,0.00018090,1730.4
19,0.041398,1.121608,0.840249,0.00000002,0.00017604,0.00017604,1734.8
