epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,lr_head,elapsed_s
1,0.505290,0.452888,0.858954,0.00000000,0.00002000,0.00002000,1804.8
2,0.426440,0.439389,0.864683,0.00000000,0.00004000,0.00004000,1812.9
3,0.402408,0.443277,0.868933,0.00000001,0.00006000,0.00006000,1799.7
4,0.390484,0.448596,0.867534,0.00000001,0.00008000,0.00008000,1789.9
5,0.365567,0.438331,0.867448,0.00000001,0.00010000,0.00010000,1777.9
6,0.352539,0.525087,0.856116,0.00000001,0.00012000,0.00012000,1806.7
7,0.337152,0.556702,0.863710,0.00000002,0.00014000,0.00014000,1796.7
8,0.314735,0.508321,0.857633,0.00000002,0.00016000,0.00016000,1801.1
9,0.329264,0.526571,0.859026,0.00000002,0.00018000,0.00018000,1786.0
10,0.302069,0.552608,0.853943,0.00000002,0.00020000,0.00020000,1780.8
11,0.259035,0.643205,0.841815,0.00000002,0.00019969,0.00019969,1767.4
12,0.237956,0.535330,0.854670,0.00000002,0.00019877,0.00019877,1769.7
13,0.218329,0.695157,0.840121,0.00000002,0.00019724,0.00019724,1752.7
14,0.203555,0.537243,0.843086,0.00000002,0.00019511,0.00019511,1763.4
15,0.177634,0.660212,0.844845,0.00000002,0.00019239,0.00019239,1755.5
16,0.158631,0.546429,0.849779,0.00000002,0.00018910,0.00018910,1755.8
17,0.127779,0.708249,0.838802,0.00000002,0.00018526,0.00018526,1749.3
18,0.117133,0.732339,0.843180,0.00000002,0.00018090,0.00018090,1760.6
