epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,lr_head,elapsed_s
1,0.533900,0.448428,0.857989,0.00000000,0.00000000,0.00002000,1786.8
2,0.422101,0.437467,0.865671,0.00000000,0.00000000,0.00004000,1784.8
3,0.396858,0.443129,0.869311,0.00000001,0.00000000,0.00006000,1788.2
4,0.383934,0.432980,0.872176,0.00000001,0.00000000,0.00008000,1782.4
5,0.368951,0.448526,0.868945,0.00000001,0.00000000,0.00010000,1785.0
6,0.354131,0.504537,0.861197,0.00000001,0.00000000,0.00012000,1775.4
7,0.331664,0.484504,0.860262,0.00000002,0.00000000,0.00014000,1780.9
8,0.309377,0.538095,0.858714,0.00000002,0.00000000,0.00016000,1772.4
9,0.278290,0.504454,0.848072,0.00000002,0.00000000,0.00018000,1776.6
10,0.248386,0.588916,0.853959,0.00000002,0.00000000,0.00020000,1769.8
11,0.198138,0.694309,0.841123,0.00000002,0.00000000,0.00019969,1766.1
12,0.159009,0.826945,0.831699,0.00000002,0.00000000,0.00019877,1758.1
13,0.133553,0.956053,0.840969,0.00000002,0.00000000,0.00019724,1756.9
14,0.105606,0.760084,0.839750,0.00000002,0.00000000,0.00019511,1746.8
15,0.061912,1.130316,0.832175,0.00000002,0.00000000,0.00019239,1746.7
16,0.059718,1.013699,0.834696,0.00000002,0.00000000,0.00018910,1733.6
17,0.050508,1.160633,0.830842,0.00000002,0.00000000,0.00018526,1738.3
18,0.045965,1.060248,0.841849,0.00000002,0.00000000,0.00018090,1733.0
19,0.031337,1.252794,0.823170,0.00000002,0.00000000,0.00017604,1735.6
