epoch,train_loss,train_auc,val_loss,val_auc,lr_probe,lr_head,elapsed_s
1,0.733372,0.400388,0.725039,0.415579,0.00000000,0.00008000,10.3
2,0.704087,0.491509,0.685218,0.581281,0.00000000,0.00016000,0.9
3,0.657714,0.679270,0.637712,0.737601,0.00000000,0.00024000,1.3
4,0.609247,0.777743,0.595491,0.782255,0.00000000,0.00032000,0.5
5,0.568752,0.810356,0.563353,0.803641,0.00000000,0.00040000,5.0
6,0.540254,0.825042,0.541894,0.815307,0.00000000,0.00039951,0.6
7,0.519593,0.836494,0.525350,0.824611,0.00000000,0.00039805,0.6
8,0.505228,0.843436,0.514582,0.830892,0.00000000,0.00039563,1.0
9,0.492021,0.851638,0.505366,0.835188,0.00000000,0.00039225,0.8
10,0.484284,0.854657,0.499368,0.838144,0.00000000,0.00038794,0.9
11,0.476317,0.858252,0.493849,0.840295,0.00000000,0.00038271,0.6
12,0.471547,0.859965,0.488936,0.842030,0.00000000,0.00037659,0.9
13,0.464529,0.863954,0.484627,0.843970,0.00000000,0.00036961,1.0
14,0.461586,0.864596,0.481590,0.845675,0.00000000,0.00036180,0.9
15,0.457451,0.866704,0.478581,0.846876,0.00000000,0.00035321,0.5
16,0.454610,0.867711,0.476591,0.847490,0.00000000,0.00034387,0.6
17,0.451825,0.868709,0.474743,0.848491,0.00000000,0.00033383,1.0
18,0.447078,0.871967,0.473264,0.849123,0.00000000,0.00032313,0.6
19,0.446934,0.871239,0.471649,0.849907,0.00000000,0.00031184,0.5
20,0.444024,0.872609,0.469912,0.850250,0.00000000,0.00030000,0.7
21,0.442567,0.873196,0.468566,0.851134,0.00000000,0.00028767,1.0
22,0.440297,0.874664,0.468104,0.851406,0.00000000,0.00027492,0.7
23,0.439937,0.874393,0.466902,0.851834,0.00000000,0.00026180,0.6
24,0.436793,0.876087,0.466161,0.852198,0.00000000,0.00024838,0.5
25,0.437773,0.875535,0.465453,0.852787,0.00000000,0.00023473,0.7
26,0.436637,0.875794,0.465145,0.852811,0.00000000,0.00022091,0.9
27,0.435026,0.876764,0.464251,0.853225,0.00000000,0.00020698,0.6
28,0.434668,0.876660,0.463692,0.853457,0.00000000,0.00019302,0.6
29,0.435599,0.876099,0.463693,0.853477,0.00000000,0.00017909,0.5
30,0.432433,0.877872,0.462774,0.853671,0.00000000,0.00016527,0.8
31,0.433238,0.877548,0.462539,0.853881,0.00000000,0.00015162,0.6
32,0.431274,0.878379,0.462254,0.853863,0.00000000,0.00013820,1.2
33,0.431281,0.878419,0.461980,0.853945,0.00000000,0.00012508,0.9
34,0.430215,0.879284,0.461624,0.854045,0.00000000,0.00011233,0.6
35,0.430619,0.878808,0.461478,0.854083,0.00000000,0.00010000,0.7
36,0.430527,0.878681,0.461347,0.854145,0.00000000,0.00008816,0.6
37,0.428533,0.880301,0.461113,0.854171,0.00000000,0.00007687,0.6
38,0.429701,0.879143,0.461037,0.854251,0.00000000,0.00006617,1.0
39,0.430044,0.878758,0.461028,0.854271,0.00000000,0.00005613,0.6
40,0.429074,0.879453,0.460739,0.854327,0.00000000,0.00004679,0.6
41,0.429014,0.879681,0.460661,0.854325,0.00000000,0.00003820,0.6
42,0.427990,0.880214,0.460595,0.854352,0.00000000,0.00003039,0.9
43,0.428070,0.880472,0.460572,0.854311,0.00000000,0.00002341,0.6
44,0.428949,0.879675,0.460597,0.854366,0.00000000,0.00001729,0.6
45,0.428782,0.879901,0.460558,0.854358,0.00000000,0.00001206,0.6
46,0.428686,0.879812,0.460546,0.854384,0.00000000,0.00000775,0.6
47,0.429326,0.878998,0.460518,0.854392,0.00000000,0.00000437,0.7
48,0.427857,0.880327,0.460508,0.854382,0.00000000,0.00000195,1.2
49,0.428788,0.879658,0.460509,0.854382,0.00000000,0.00000049,0.6
50,0.428285,0.880169,0.460511,0.854382,0.00000000,0.00000000,4.3
