epoch,train_loss,train_auc,val_loss,val_auc,lr_probe,lr_head,elapsed_s
1,0.720818,0.494123,0.707515,0.512334,0.00000000,0.00008000,24.0
2,0.690877,0.550725,0.673405,0.619440,0.00000000,0.00016000,19.9
3,0.653383,0.684021,0.636577,0.732675,0.00000000,0.00024000,8.4
4,0.611806,0.772355,0.601788,0.773080,0.00000000,0.00032000,13.3
5,0.574565,0.807140,0.572907,0.793488,0.00000000,0.00040000,24.6
6,0.546510,0.822567,0.552583,0.806064,0.00000000,0.00039951,1.9
7,0.524780,0.835262,0.533397,0.816969,0.00000000,0.00039805,6.6
8,0.508757,0.844152,0.521416,0.824941,0.00000000,0.00039563,14.3
9,0.494710,0.852875,0.511422,0.830914,0.00000000,0.00039225,22.5
10,0.486251,0.856015,0.504858,0.835140,0.00000000,0.00038794,5.8
11,0.477533,0.859534,0.498266,0.838530,0.00000000,0.00038271,32.0
12,0.471191,0.862464,0.493345,0.840495,0.00000000,0.00037659,48.5
13,0.463557,0.866201,0.487860,0.843094,0.00000000,0.00036961,24.9
14,0.460531,0.866600,0.484168,0.845077,0.00000000,0.00036180,9.9
15,0.456059,0.868570,0.481384,0.846910,0.00000000,0.00035321,5.4
16,0.452074,0.870830,0.478709,0.847618,0.00000000,0.00034387,6.3
17,0.448979,0.871498,0.476772,0.848809,0.00000000,0.00033383,9.5
18,0.444156,0.874849,0.475335,0.849377,0.00000000,0.00032313,46.3
19,0.443674,0.874266,0.473200,0.850532,0.00000000,0.00031184,22.3
20,0.440652,0.875616,0.471328,0.851088,0.00000000,0.00030000,17.0
21,0.439402,0.875818,0.469571,0.851946,0.00000000,0.00028767,3.3
22,0.437114,0.877420,0.469346,0.851798,0.00000000,0.00027492,3.4
23,0.435673,0.877710,0.467482,0.852783,0.00000000,0.00026180,5.2
24,0.432714,0.879243,0.466866,0.852871,0.00000000,0.00024838,1.8
25,0.433389,0.878932,0.466351,0.853417,0.00000000,0.00023473,8.1
26,0.431881,0.879260,0.465369,0.853687,0.00000000,0.00022091,7.6
27,0.430465,0.880250,0.464911,0.854065,0.00000000,0.00020698,4.5
28,0.430628,0.879726,0.464250,0.854225,0.00000000,0.00019302,4.0
29,0.431580,0.878815,0.464932,0.854348,0.00000000,0.00017909,1.3
30,0.428002,0.881089,0.463414,0.854622,0.00000000,0.00016527,8.1
31,0.428846,0.880476,0.463046,0.854894,0.00000000,0.00015162,14.9
32,0.426326,0.881788,0.462472,0.855176,0.00000000,0.00013820,41.1
33,0.427063,0.881297,0.462447,0.855074,0.00000000,0.00012508,23.5
34,0.425025,0.882853,0.461817,0.855354,0.00000000,0.00011233,7.7
35,0.425288,0.882350,0.461847,0.855460,0.00000000,0.00010000,8.1
36,0.425728,0.881908,0.461608,0.855614,0.00000000,0.00008816,7.8
37,0.424255,0.883215,0.461596,0.855480,0.00000000,0.00007687,2.5
38,0.425059,0.882317,0.461426,0.855666,0.00000000,0.00006617,2.5
39,0.424208,0.882777,0.461452,0.855680,0.00000000,0.00005613,1.5
40,0.423791,0.883143,0.460997,0.855796,0.00000000,0.00004679,1.5
41,0.424072,0.883026,0.460871,0.855794,0.00000000,0.00003820,10.0
42,0.423108,0.883444,0.460917,0.855904,0.00000000,0.00003039,7.8
43,0.423063,0.883744,0.460916,0.855900,0.00000000,0.00002341,5.1
44,0.424141,0.882820,0.460917,0.855892,0.00000000,0.00001729,12.7
45,0.424029,0.883164,0.460871,0.855856,0.00000000,0.00001206,41.9
46,0.423605,0.883161,0.460860,0.855882,0.00000000,0.00000775,26.5
47,0.423952,0.882811,0.460830,0.855892,0.00000000,0.00000437,39.1
48,0.422388,0.884044,0.460796,0.855908,0.00000000,0.00000195,10.6
49,0.423749,0.883079,0.460803,0.855892,0.00000000,0.00000049,35.3
50,0.422551,0.884060,0.460805,0.855896,0.00000000,0.00000000,47.7
